Load environment configuration
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
172.18.0.1 - - [14/Dec/2022:04:47:49 +0000] "GET /api/v1/users/photo/undefined HTTP/1.1" 502 552 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
127.0.0.1 - - [14/Dec/2022:04:47:57 +0000] "GET / HTTP/1.1" 200 4652 "-" "curl/7.68.0"
127.0.0.1 - - [14/Dec/2022:04:48:12 +0000] "GET / HTTP/1.1" 200 4652 "-" "curl/7.68.0"
172.18.0.1 - - [14/Dec/2022:04:48:18 +0000] "GET /rts/?EIO=4&transport=websocket HTTP/1.1" 101 315 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:18 +0000] "GET /app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e HTTP/1.1" 200 2009 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 502 552 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "GET /api/v1/users/features HTTP/1.1" 200 82 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "GET /api/v1/users/me HTTP/1.1" 200 231 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "GET /api/v1/pages?pageId=639954c7b194073323d2208c&mode=EDIT HTTP/1.1" 404 169 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "GET /user/login?redirectUrl=http%3A%2F%2F192.168.1.2%2Fapp%2Fuser-project-latest%2Fadmindashboard-639954c7b194073323d2208c%2Fedit%2Fapi%2F639954c8b194073323d2209e HTTP/1.1" 200 2009 "http://192.168.1.2/app/user-project-latest/admindashboard-639954c7b194073323d2208c/edit/api/639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:19 +0000] "GET /rts/?EIO=4&transport=websocket HTTP/1.1" 101 228 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:20 +0000] "GET /api/v1/users/features HTTP/1.1" 200 82 "http://192.168.1.2/user/login?redirectUrl=http%3A%2F%2F192.168.1.2%2Fapp%2Fuser-project-latest%2Fadmindashboard-639954c7b194073323d2208c%2Fedit%2Fapi%2F639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
172.18.0.1 - - [14/Dec/2022:04:48:20 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 401 0 "http://192.168.1.2/user/login?redirectUrl=http%3A%2F%2F192.168.1.2%2Fapp%2Fuser-project-latest%2Fadmindashboard-639954c7b194073323d2208c%2Fedit%2Fapi%2F639954c8b194073323d2209e" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
